store,item,s,S,x_max_used,iterations,final_diff,converged,violations,n_states
1,1,23,589,905,1045,9.907117504326379e-05,True,0,906
1,2,64,996,1477,1091,9.913849567055877e-05,True,0,1478
1,3,39,774,1167,1068,9.966906367253614e-05,True,0,1168
1,4,23,589,905,1045,9.912017657143224e-05,True,0,906
1,5,19,533,825,1036,9.995676703056233e-05,True,0,826
1,6,64,995,1476,1091,9.905527122100466e-05,True,0,1477
1,7,64,993,1472,1090,9.980892195926572e-05,True,0,1473
1,8,84,1150,1688,1104,9.91604199498397e-05,True,0,1689
1,9,56,927,1381,1084,9.970167593564838e-05,True,0,1382
1,10,81,1122,1650,1101,9.993292496801587e-05,True,0,1651
1,11,76,1093,1611,1099,9.955573568731779e-05,True,0,1612
1,12,77,1094,1611,1099,9.958599684978253e-05,True,0,1612
1,13,93,1208,1768,1108,9.966396828531288e-05,True,0,1769
1,14,64,996,1477,1091,9.913412566220359e-05,True,0,1478
1,15,98,1239,1808,1110,9.992220657295547e-05,True,0,1809
1,16,27,641,978,1052,9.920492686887883e-05,True,0,979
1,17,35,732,1109,1063,9.989549550937227e-05,True,0,1110
1,18,94,1211,1770,1108,9.982889548609819e-05,True,0,1771
1,19,44,817,1227,1073,9.934481727214006e-05,True,0,1228
1,20,51,887,1327,1080,9.983467862184625e-05,True,0,1328
1,21,43,810,1218,1072,9.970884627819032e-05,True,0,1219
1,22,89,1180,1728,1106,9.945535657607252e-05,True,0,1729
1,23,31,685,1042,1058,9.902424289975897e-05,True,0,1043
1,24,73,1063,1569,1097,9.90207779523189e-05,True,0,1570
1,25,89,1179,1728,1106,9.942413112185022e-05,True,0,1729
1,26,52,892,1332,1081,9.919160390836623e-05,True,0,1333
1,27,23,590,907,1045,9.935369178037945e-05,True,0,908
1,28,97,1238,1807,1110,9.983742143049312e-05,True,0,1808
1,29,76,1092,1609,1099,9.945723422788433e-05,True,0,1610
1,30,43,812,1221,1072,9.988839855168408e-05,True,0,1222
1,31,64,995,1475,1091,9.901015789637313e-05,True,0,1476
1,32,47,853,1279,1077,9.931575658583824e-05,True,0,1280
1,33,76,1089,1605,1099,9.91982851701323e-05,True,0,1606
1,34,27,640,977,1052,9.914959889556485e-05,True,0,978
1,35,72,1058,1563,1096,9.960595446045772e-05,True,0,1564
1,36,85,1149,1687,1104,9.907465187097841e-05,True,0,1688
1,37,31,685,1041,1058,9.899891131226468e-05,True,0,1042
1,38,90,1185,1735,1106,9.983615007058688e-05,True,0,1736
1,39,47,852,1276,1077,9.911988900057622e-05,True,0,1277
1,40,31,685,1042,1058,9.907907991646425e-05,True,0,1043
1,41,23,590,906,1045,9.91986582903337e-05,True,0,907
1,42,39,772,1165,1068,9.961403344505015e-05,True,0,1166
1,43,56,924,1377,1084,9.942961560227559e-05,True,0,1378
1,44,31,687,1044,1058,9.92922666114282e-05,True,0,1045
1,45,89,1179,1728,1106,9.941015730419167e-05,True,0,1729
1,46,64,993,1473,1090,9.986142526940966e-05,True,0,1474
1,47,23,587,902,1044,9.984011671804183e-05,True,0,903
1,48,56,928,1382,1084,9.97408872080996e-05,True,0,1383
1,49,31,685,1042,1058,9.907232555406154e-05,True,0,1043
1,50,72,1057,1561,1096,9.947951457434101e-05,True,0,1562
2,1,33,709,1075,1061,9.900612485580496e-05,True,0,1076
2,2,92,1201,1758,1108,9.912920700116956e-05,True,0,1759
2,3,57,932,1389,1085,9.920802909846316e-05,True,0,1390
2,4,33,709,1076,1061,9.911959631381251e-05,True,0,1077
2,5,28,644,983,1052,9.956010370615331e-05,True,0,984
2,6,92,1198,1754,1107,9.989412637878559e-05,True,0,1755
2,7,92,1199,1755,1107,9.997451775234367e-05,True,0,1756
2,8,123,1394,2017,1121,9.968278175165324e-05,True,0,2018
2,9,80,1115,1639,1101,9.929021621246648e-05,True,0,1640
2,10,116,1355,1965,1119,9.910785513511655e-05,True,0,1966
2,11,110,1318,1915,1116,9.955705843367468e-05,True,0,1916
2,12,110,1318,1915,1116,9.957168595065014e-05,True,0,1916
2,13,134,1460,2104,1125,9.991802517106407e-05,True,0,2105
2,14,92,1201,1759,1108,9.914021177337418e-05,True,0,1760
2,15,140,1494,2150,1128,9.903586214932147e-05,True,0,2151
2,16,39,771,1163,1068,9.933490980529314e-05,True,0,1164
2,17,51,884,1322,1080,9.946394180815332e-05,True,0,1323
2,18,134,1461,2107,1126,9.902197734845686e-05,True,0,2108
2,19,62,982,1458,1089,9.991080924010021e-05,True,0,1459
2,20,74,1072,1582,1097,9.981099526612525e-05,True,0,1583
2,21,62,982,1457,1089,9.985776557641657e-05,True,0,1458
2,22,127,1423,2056,1123,9.959299654838105e-05,True,0,2057
2,23,45,827,1242,1074,9.95126634393273e-05,True,0,1243
2,24,104,1281,1865,1113,9.995002449159074e-05,True,0,1866
2,25,129,1427,2060,1123,9.983693712456443e-05,True,0,2061
2,26,74,1074,1584,1097,9.991309843826457e-05,True,0,1585
2,27,33,711,1078,1061,9.923900097419391e-05,True,0,1079
2,28,140,1494,2150,1128,9.904815067329764e-05,True,0,2151
2,29,109,1314,1911,1116,9.932064176609856e-05,True,0,1912
2,30,63,983,1458,1089,9.992356717702933e-05,True,0,1459
2,31,92,1201,1758,1108,9.91068977782561e-05,True,0,1759
2,32,69,1032,1526,1094,9.932054103956034e-05,True,0,1527
2,33,110,1318,1915,1116,9.954898564501491e-05,True,0,1916
2,34,39,772,1165,1068,9.955592094001986e-05,True,0,1166
2,35,104,1280,1864,1113,9.990977912366361e-05,True,0,1865
2,36,122,1391,2013,1121,9.950353546628321e-05,True,0,2014
2,37,44,824,1238,1074,9.925435097102309e-05,True,0,1239
2,38,128,1425,2059,1123,9.970580049412092e-05,True,0,2060
2,39,68,1026,1518,1093,9.981235518807807e-05,True,0,1519
2,40,45,827,1242,1074,9.95169874045132e-05,True,0,1243
2,41,33,707,1073,1060,9.98862431060843e-05,True,0,1074
2,42,57,936,1394,1085,9.958240400465002e-05,True,0,1395
2,43,80,1117,1643,1101,9.949353704996611e-05,True,0,1644
2,44,45,829,1245,1074,9.978825227108246e-05,True,0,1246
2,45,128,1426,2060,1123,9.978840148505697e-05,True,0,2061
2,46,92,1201,1757,1108,9.908458434892964e-05,True,0,1758
2,47,33,709,1075,1061,9.905074136895564e-05,True,0,1076
2,48,80,1119,1646,1101,9.968329140974674e-05,True,0,1647
2,49,45,829,1244,1074,9.968625994360991e-05,True,0,1245
2,50,104,1280,1864,1113,9.988376359615359e-05,True,0,1865
3,1,29,666,1014,1055,9.960277969867093e-05,True,0,1015
3,2,81,1127,1656,1102,9.927118048835837e-05,True,0,1657
3,3,50,875,1309,1079,9.957560752127392e-05,True,0,1310
3,4,29,666,1015,1055,9.965038623249711e-05,True,0,1016
3,5,24,603,925,1047,9.915484639577699e-05,True,0,926
3,6,82,1128,1658,1102,9.941557414094859e-05,True,0,1659
3,7,81,1125,1654,1102,9.914559552726132e-05,True,0,1655
3,8,108,1303,1895,1115,9.954366964848305e-05,True,0,1896
3,9,70,1048,1549,1095,9.975978991860757e-05,True,0,1550
3,10,102,1269,1850,1113,9.914996894622163e-05,True,0,1851
3,11,97,1235,1804,1110,9.966144330064708e-05,True,0,1805
3,12,97,1234,1802,1110,9.953152039088309e-05,True,0,1803
3,13,119,1372,1987,1120,9.9231516060172e-05,True,0,1988
3,14,81,1127,1656,1102,9.92889613371517e-05,True,0,1657
3,15,125,1404,2030,1122,9.936398873833241e-05,True,0,2031
3,16,34,721,1093,1062,9.959523680436178e-05,True,0,1094
3,17,45,829,1245,1074,9.975882011303838e-05,True,0,1246
3,18,119,1371,1986,1120,9.91580983509266e-05,True,0,1987
3,19,55,920,1372,1084,9.90222396808349e-05,True,0,1373
3,20,65,1007,1492,1092,9.911953668506612e-05,True,0,1493
3,21,55,921,1373,1084,9.912993550642568e-05,True,0,1374
3,22,113,1338,1942,1117,9.991917909246695e-05,True,0,1943
3,23,39,776,1170,1068,9.996410022949931e-05,True,0,1171
3,24,92,1200,1756,1108,9.902793237870355e-05,True,0,1757
3,25,113,1337,1941,1117,9.989162538204255e-05,True,0,1942
3,26,66,1007,1491,1092,9.90874470971903e-05,True,0,1492
3,27,29,666,1015,1055,9.957900130075359e-05,True,0,1016
3,28,123,1401,2027,1122,9.918213720538915e-05,True,0,2028
3,29,98,1239,1808,1110,9.99078843051393e-05,True,0,1809
3,30,55,921,1373,1084,9.912155906022235e-05,True,0,1374
3,31,82,1128,1658,1102,9.938785149188334e-05,True,0,1659
3,32,61,965,1433,1088,9.923226798491669e-05,True,0,1434
3,33,97,1234,1802,1110,9.954911172371794e-05,True,0,1803
3,34,34,721,1092,1062,9.952262814749702e-05,True,0,1093
3,35,91,1195,1750,1107,9.965613401163864e-05,True,0,1751
3,36,108,1305,1898,1115,9.968720462438796e-05,True,0,1899
3,37,40,777,1171,1069,9.901694630798374e-05,True,0,1172
3,38,114,1338,1942,1117,9.995464756684669e-05,True,0,1943
3,39,60,966,1435,1088,9.93563241991069e-05,True,0,1436
3,40,40,779,1174,1069,9.915805753735185e-05,True,0,1175
3,41,29,664,1012,1055,9.941217643927303e-05,True,0,1013
3,42,50,876,1310,1079,9.957841677987744e-05,True,0,1311
3,43,70,1045,1545,1095,9.952716618499835e-05,True,0,1546
3,44,40,776,1170,1068,9.991043606305539e-05,True,0,1171
3,45,113,1338,1942,1117,9.992014747695066e-05,True,0,1943
3,46,81,1126,1655,1102,9.92130219401588e-05,True,0,1656
3,47,29,666,1015,1055,9.967054313619883e-05,True,0,1016
3,48,71,1051,1552,1095,9.996227072406327e-05,True,0,1553
3,49,40,775,1168,1068,9.973378371341823e-05,True,0,1169
3,50,91,1198,1754,1107,9.987186638227286e-05,True,0,1755
4,1,27,635,970,1051,9.951908879202165e-05,True,0,971
4,2,75,1079,1591,1098,9.93963374185114e-05,True,0,1592
4,3,46,838,1258,1075,9.972972588911944e-05,True,0,1259
4,4,27,637,973,1051,9.978333758908775e-05,True,0,974
4,5,23,582,895,1044,9.904067093202684e-05,True,0,896
4,6,74,1075,1586,1098,9.903637544539379e-05,True,0,1587
4,7,75,1079,1590,1098,9.932492389452818e-05,True,0,1591
4,8,99,1249,1821,1111,9.962154638287757e-05,True,0,1822
4,9,65,1005,1489,1091,9.994555057346588e-05,True,0,1490
4,10,94,1216,1778,1109,9.924888161094714e-05,True,0,1779
4,11,90,1186,1736,1106,9.989694171963492e-05,True,0,1737
4,12,89,1182,1732,1106,9.967146161216078e-05,True,0,1733
4,13,109,1312,1907,1116,9.913985729781416e-05,True,0,1908
4,14,75,1080,1592,1098,9.942120982486813e-05,True,0,1593
4,15,114,1343,1950,1118,9.932911939358746e-05,True,0,1951
4,16,32,695,1056,1059,9.93361082919364e-05,True,0,1057
4,17,41,791,1191,1070,9.953178209798352e-05,True,0,1192
4,18,109,1311,1906,1116,9.908236097544432e-05,True,0,1907
4,19,51,883,1320,1080,9.930827712878454e-05,True,0,1321
4,20,60,964,1433,1088,9.920835884713597e-05,True,0,1434
4,21,50,881,1317,1080,9.916198837345291e-05,True,0,1318
4,22,103,1279,1864,1113,9.98517024299872e-05,True,0,1865
4,23,36,742,1123,1065,9.906259242598026e-05,True,0,1124
4,24,84,1147,1684,1103,9.992138609504764e-05,True,0,1685
4,25,104,1283,1868,1114,9.909139737374062e-05,True,0,1869
4,26,60,963,1431,1088,9.909474795222195e-05,True,0,1432
4,27,27,637,974,1051,9.989880408056706e-05,True,0,975
4,28,114,1343,1949,1118,9.930644193900662e-05,True,0,1950
4,29,90,1184,1734,1106,9.978958928513748e-05,True,0,1735
4,30,51,883,1320,1080,9.938214191151928e-05,True,0,1321
4,31,74,1075,1586,1098,9.90538144378661e-05,True,0,1587
4,32,55,923,1375,1084,9.92414867369007e-05,True,0,1376
4,33,89,1184,1735,1106,9.98277939743275e-05,True,0,1736
4,34,32,693,1052,1058,9.994566056548138e-05,True,0,1053
4,35,84,1146,1682,1103,9.984025598441804e-05,True,0,1683
4,36,99,1250,1824,1111,9.973297221677058e-05,True,0,1825
4,37,36,742,1123,1065,9.905505743290632e-05,True,0,1124
4,38,104,1279,1863,1113,9.984650000660622e-05,True,0,1864
4,39,55,924,1376,1084,9.935291632245935e-05,True,0,1377
4,40,36,740,1120,1064,9.97426834601356e-05,True,0,1121
4,41,27,638,975,1051,9.997422733931671e-05,True,0,976
4,42,46,838,1257,1075,9.974825218250771e-05,True,0,1258
4,43,65,1005,1489,1091,9.992352920562553e-05,True,0,1490
4,44,36,745,1127,1065,9.942116707861715e-05,True,0,1128
4,45,104,1280,1864,1113,9.991705621814617e-05,True,0,1865
4,46,75,1077,1588,1098,9.916458100178716e-05,True,0,1589
4,47,27,637,974,1051,9.981350154930624e-05,True,0,975
4,48,65,1002,1485,1091,9.96995665900613e-05,True,0,1486
4,49,36,744,1125,1065,9.921494273612552e-05,True,0,1126
4,50,84,1145,1682,1103,9.978456637327326e-05,True,0,1683
5,1,19,536,829,1037,9.921031289650273e-05,True,0,830
5,2,53,905,1351,1082,9.957849738384539e-05,True,0,1352
5,3,33,704,1069,1060,9.94175418895793e-05,True,0,1070
5,4,19,536,829,1037,9.94101468450026e-05,True,0,830
5,5,16,488,760,1029,9.937443178387184e-05,True,0,761
5,6,54,906,1352,1082,9.965357628516358e-05,True,0,1353
5,7,53,906,1352,1082,9.962327658286085e-05,True,0,1353
5,8,71,1050,1550,1095,9.985573296944494e-05,True,0,1551
5,9,46,842,1262,1076,9.908701360927807e-05,True,0,1263
5,10,67,1020,1509,1093,9.92424367041167e-05,True,0,1510
5,11,64,995,1474,1090,9.998986206483096e-05,True,0,1475
5,12,64,995,1475,1091,9.90452090263716e-05,True,0,1476
5,13,78,1104,1626,1100,9.94574224932876e-05,True,0,1627
5,14,54,910,1358,1083,9.902479683887577e-05,True,0,1359
5,15,81,1128,1658,1102,9.939334006503486e-05,True,0,1659
5,16,22,580,892,1044,9.904450860176439e-05,True,0,893
5,17,29,666,1014,1055,9.95283534734881e-05,True,0,1015
5,18,77,1101,1622,1100,9.921619118813396e-05,True,0,1623
5,19,36,742,1122,1065,9.899982796923723e-05,True,0,1123
5,20,43,812,1221,1072,9.995189310529895e-05,True,0,1222
5,21,36,739,1118,1064,9.964291899677846e-05,True,0,1119
5,22,74,1076,1587,1098,9.912913174048299e-05,True,0,1588
5,23,26,626,957,1050,9.931607223734318e-05,True,0,958
5,24,60,966,1434,1088,9.933274043305573e-05,True,0,1435
5,25,75,1075,1585,1098,9.900158090658806e-05,True,0,1586
5,26,43,812,1221,1072,9.996168222414781e-05,True,0,1222
5,27,19,536,829,1037,9.91875140243792e-05,True,0,830
5,28,81,1128,1658,1102,9.937323943631782e-05,True,0,1659
5,29,64,992,1472,1090,9.979879587262985e-05,True,0,1473
5,30,36,742,1123,1065,9.909714657396762e-05,True,0,1124
5,31,53,907,1354,1082,9.980459304870237e-05,True,0,1355
5,32,39,775,1168,1068,9.9745390514272e-05,True,0,1169
5,33,64,996,1477,1091,9.915238240409963e-05,True,0,1478
5,34,23,584,898,1044,9.939490462329559e-05,True,0,899
5,35,60,966,1435,1088,9.936601770732523e-05,True,0,1436
5,36,71,1049,1550,1095,9.984356756831403e-05,True,0,1551
5,37,26,625,956,1050,9.928701609851487e-05,True,0,957
5,38,74,1076,1587,1098,9.909174491440353e-05,True,0,1588
5,39,39,774,1168,1068,9.96980943455128e-05,True,0,1169
5,40,26,622,952,1049,9.97791955228422e-05,True,0,953
5,41,19,537,831,1037,9.930154993753604e-05,True,0,832
5,42,32,702,1067,1060,9.929988857493299e-05,True,0,1068
5,43,46,845,1268,1076,9.950139997272345e-05,True,0,1269
5,44,26,627,959,1050,9.933780728488273e-05,True,0,960
5,45,75,1077,1588,1098,9.917011811921839e-05,True,0,1589
5,46,53,908,1355,1082,9.984339067159453e-05,True,0,1356
5,47,19,535,828,1036,9.996685764690483e-05,True,0,829
5,48,47,847,1270,1076,9.963579714167281e-05,True,0,1271
5,49,26,626,958,1050,9.928416125148942e-05,True,0,959
5,50,61,967,1437,1088,9.949707532541652e-05,True,0,1438
6,1,19,535,828,1037,9.932996022143925e-05,True,0,829
6,2,53,905,1352,1082,9.963429266690582e-05,True,0,1353
6,3,32,704,1068,1060,9.94574659216596e-05,True,0,1069
6,4,19,536,829,1037,9.915093920653817e-05,True,0,830
