item,n_stores,ss_decentralized,ss_pooled,pct_savings,mean_pairwise_correlation
1,10,331.8,260.8,21.4,0.565
2,10,673.4,601.7,10.6,0.769
3,10,460.5,389.6,15.4,0.677
4,10,293.9,230.4,21.6,0.563
5,10,224.9,171.0,24.0,0.522
6,10,704.7,632.0,10.3,0.775
7,10,708.3,633.9,10.5,0.772
8,10,918.8,842.7,8.3,0.817
9,10,603.6,532.8,11.7,0.747
10,10,776.8,709.4,8.7,0.81
11,10,811.2,738.9,8.9,0.805
12,10,786.2,714.1,9.2,0.799
13,10,892.9,824.2,7.7,0.83
14,10,738.1,659.6,10.6,0.769
15,10,944.9,874.1,7.5,0.834
16,10,332.7,268.6,19.2,0.605
17,10,432.1,360.6,16.5,0.655
18,10,1008.8,931.5,7.7,0.831
19,10,455.9,391.7,14.1,0.702
20,10,552.1,483.8,12.4,0.735
21,10,532.6,458.5,13.9,0.705
22,10,963.2,885.5,8.1,0.823
23,10,389.5,319.0,18.1,0.627
24,10,818.4,740.4,9.5,0.792
25,10,1060.0,977.7,7.8,0.829
26,10,609.5,534.6,12.3,0.735
27,10,283.2,222.4,21.5,0.566
28,10,1019.4,943.3,7.5,0.835
29,10,887.9,806.9,9.1,0.8
30,10,512.4,439.8,14.2,0.699
31,10,749.0,669.6,10.6,0.771
32,10,533.8,463.5,13.2,0.719
33,10,815.4,742.9,8.9,0.805
34,10,331.8,267.5,19.4,0.604
35,10,860.7,780.5,9.3,0.797
36,10,824.3,755.9,8.3,0.818
37,10,428.6,352.3,17.8,0.632
38,10,871.9,802.1,8.0,0.823
39,10,497.1,430.5,13.4,0.715
40,10,392.1,322.5,17.7,0.633
41,10,304.8,238.1,21.9,0.558
42,10,492.0,416.9,15.3,0.679
43,10,606.7,535.9,11.7,0.749
44,10,385.3,317.2,17.7,0.634
45,10,905.3,833.7,7.9,0.826
46,10,695.1,622.1,10.5,0.772
47,10,298.9,234.4,21.6,0.564
48,10,595.3,526.0,11.6,0.748
49,10,400.7,330.9,17.4,0.637
50,10,681.0,616.7,9.4,0.795
