store,item,demand_mean,demand_std,demand_min,demand_max,n_days,dispersion_index,suggested_distribution,assigned_vehicle_type,lead_time_mean_days,lead_time_std_days,holding_cost_rate_annual,order_cost_fixed,target_service_level,unit_cost_placeholder
1,1,19.971522453450163,6.741022204814112,4,50,1826,2.2753087788731263,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,2,53.14895947426068,15.005779398454088,13,115,1826,4.236647670668276,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,3,33.20810514786418,10.072529304963512,8,70,1826,3.055153136488848,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,4,19.95618838992333,6.640617856680388,4,43,1826,2.2097308692840945,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,5,16.612814895947427,5.672102368390276,3,37,1826,1.9366221485647734,Normal_approx,22 FT Closed Container,1.0978160612535612,1.0343863002918698,0.2,50.0,0.95,10.0
1,6,53.06078860898138,14.826415753312865,17,104,1826,4.142844647674072,Normal_approx,40 FT Flat Bed Multi-Axle 27MT - Trailer,7.233716255868545,7.373434111835265,0.2,50.0,0.95,10.0
1,7,52.78368017524644,15.073837512491583,14,115,1826,4.304750570604517,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,8,69.47207009857613,18.75197999518291,24,137,1826,5.061555719309811,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,9,46.50492880613363,13.247495615289699,14,94,1826,3.773710541708716,Normal_approx,26 FT Taurus Open 27MT - HCV,4.533863636363637,2.601788015188991,0.2,50.0,0.95,10.0
1,10,66.35432639649507,18.283007318668947,16,131,1826,5.037627156624392,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,11,63.217962760131435,17.230416731004862,11,124,1826,4.696248467394856,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,12,63.23384446878423,17.63687215477114,21,133,1826,4.91918943118029,Normal_approx,40 FT Flat Bed Multi-Axle 27MT - Trailer,7.233716255868545,7.373434111835265,0.2,50.0,0.95,10.0
1,13,76.1593647316539,20.374851875929718,27,139,1826,5.450867275860241,Normal_approx,32 FT Single-Axle 7MT - HCV,6.43402524515763,5.331951270712372,0.2,50.0,0.95,10.0
1,14,53.14895947426068,14.769971072823912,20,107,1826,4.104540289216823,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,15,79.68072289156626,21.72579883545793,17,154,1826,5.923770742907562,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,16,23.332420591456735,7.6147377184698835,5,55,1826,2.485135663220433,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,17,29.972070098576122,9.116823995621408,9,61,1826,2.773131101514636,Normal_approx,32 FT Single-Axle 7MT - HCV,6.43402524515763,5.331951270712372,0.2,50.0,0.95,10.0
1,18,76.34556407447974,21.0531089568771,28,155,1826,5.805620825824767,Normal_approx,20 FT CLOSE 7MT-MCV ,4.930623346560847,4.133408767609656,0.2,50.0,0.95,10.0
1,19,36.67688937568455,11.10061986993504,11,75,1826,3.35971134941693,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,20,42.89047097480832,12.181551157384636,11,87,1826,3.459747240526591,Normal_approx,32 FT Single-Axle 7MT - HCV,6.43402524515763,5.331951270712372,0.2,50.0,0.95,10.0
1,21,36.1763417305586,10.840796057378663,9,74,1826,3.248610930120769,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,22,72.78148959474261,19.808007435050463,25,143,1826,5.390892117373707,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,23,26.46987951807229,8.460734233286027,5,55,1826,2.704357748112309,Normal_approx,40 FT Flat Bed Multi-Axle 27MT - Trailer,7.233716255868545,7.373434111835265,0.2,50.0,0.95,10.0
1,24,60.0,16.642839589115848,18,121,1826,4.61640182648403,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,25,72.73603504928806,19.7993879647175,24,143,1826,5.3895674064685934,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,26,43.23603504928806,12.84890633145044,12,96,1826,3.8184443537938546,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,27,20.05093099671413,6.640278233867997,1,48,1826,2.199064723249356,Normal_approx,32 FT Multi-Axle MXL 18MT,6.487615878527337,3.6930577510741505,0.2,50.0,0.95,10.0
1,28,79.56681270536693,21.460002283316964,32,155,1826,5.787987256763719,Normal_approx,19 FT Open 7MT - MCV,17.961898148148148,10.080516945624474,0.2,50.0,0.95,10.0
1,29,63.08652792990142,17.27708639482617,19,124,1826,4.731560351933827,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,30,36.31818181818182,10.938035594429483,13,72,1826,3.294234916933841,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,31,53.008214676889374,14.954009436787588,15,106,1826,4.218636669780685,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,32,39.83789704271632,11.464107598378614,13,81,1826,3.299013572083902,Normal_approx,40 FT Flat Bed Multi-Axle 27MT - Trailer,7.233716255868545,7.373434111835265,0.2,50.0,0.95,10.0
1,33,62.755750273822564,17.178148984470695,23,123,1826,4.702179501402003,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,34,23.274917853231106,7.499406049090722,5,48,1826,2.4163819371474573,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,35,59.49507119386637,16.482759039571405,20,115,1826,4.566451306046706,Normal_approx,32 FT Multi-Axle MXL 18MT,6.487615878527337,3.6930577510741505,0.2,50.0,0.95,10.0
1,36,69.30996714129245,19.17064763482564,24,151,1826,5.3024658053790095,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,37,26.424424972617743,8.312725700591358,8,62,1826,2.615058176095725,Normal_approx,30 FT Open SXL 30MT,11.785517526455026,15.634851228755624,0.2,50.0,0.95,10.0
1,38,73.34446878422781,19.948156493046685,19,150,1826,5.425479985978878,Normal_approx,32 FT Multi-Axle MXL 18MT,6.487615878527337,3.6930577510741505,0.2,50.0,0.95,10.0
1,39,39.69496166484118,11.78345935314825,13,86,1826,3.4979228724203515,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,40,26.44359255202629,8.208805497101118,7,57,1826,2.548234985721487,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,41,20.00273822562979,6.684883224925373,3,42,1826,2.2340773161561307,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,42,33.10569550930997,9.623902912510415,7,71,1826,2.7976910270131627,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,43,46.24260679079956,13.34510376975674,15,98,1826,3.851249031683238,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,44,26.59419496166484,8.364186487527249,7,58,1826,2.630634832112016,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,45,72.72070098576123,19.7303404146561,25,135,1826,5.353170797328184,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,46,52.84501642935378,14.93241650978328,15,109,1826,4.219452994583447,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,47,19.81434830230011,6.554390521574377,4,44,1826,2.1681275838033542,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,48,46.5460021905805,13.416420848807777,13,94,1826,3.8671494848326757,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
1,49,26.461664841182913,8.299193442867072,7,53,1826,2.602882782149576,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
1,50,59.34282584884995,16.380064579440493,19,111,1826,4.521296581157683,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
2,1,28.173603504928806,8.6810127459478,6,58,1826,2.674843574132233,Normal_approx,32 FT Multi-Axle 14MT - HCV,5.695535963687151,4.077062055526572,0.2,50.0,0.95,10.0
2,2,75.31653888280394,20.33226790341633,26,150,1826,5.488849119043632,Normal_approx,1.5 MT Pickup (Open Body),2.481574074074074,1.990326348578496,0.2,50.0,0.95,10.0
2,3,46.99233296823658,13.546306025549484,16,94,1826,3.90494353753138,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
2,4,28.234939759036145,8.655292492651848,7,66,1826,2.653240586758481,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
2,5,23.54052573932092,7.757471028920607,3,50,1826,2.556372675399667,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
2,6,74.94523548740416,20.31921317035493,24,148,1826,5.5089615927848445,Normal_approx,40 FT 3XL Trailer 35MT,7.473354210273853,7.005713821113785,0.2,50.0,0.95,10.0
